sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica de;prado;3;10;13/07/2018;5000000.0;microempresarial
femenino;servicio;recreativo educativo;barrio caicedo;1;9;30/10/2017;6000000.0;microempresarial
femenino;comercio;tienda;aranjuez;2;4;03/08/2017;7300000.0;microempresarial
masculino;comercio;variedades;cabecera san cristobal;3;60;20/11/2017;7000000.0;microempresarial
femenino;comercio;fabrica de;robledo;2;7;23/02/2017;5000000.0;microempresarial
femenino;comercio;variedades;picachito;1;6;31/05/2017;7000000.0;microempresarial
femenino;industria;fabrica de;guayabal;3;15;20/02/2016;2000000.0;microempresarial
femenino;comercio;tienda;carpinelo;1;1;14/02/2017;3300000.0;microempresarial
masculino;comercio;variedades;belalcazar;2;5;07/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;manrique central no1;1;4;03/05/2018;7800000.0;microempresarial
femenino;industria;fabrica de;manrique central no2;2;3;28/02/2017;4500000.0;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90;23/12/2016;13000000.0;agropecuaria
femenino;comercio;comidas rapidas;andalucia;2;2;12/04/2018;7800000.0;microempresarial
masculino;industria;fabrica de;san javier no1;1;13;23/08/2018;4000000.0;microempresarial
masculino;servicio;variedades;belencito;2;13;30/07/2018;7800000.0;microempresarial
masculino;comercio;miscelanea;centro admtivo;3;10;14/02/2018;1000000.0;microempresarial
femenino;comercio;variedades;cabecera san antonio ;2;80;16/11/2017;7000000.0;microempresarial
femenino;servicio;cafe e internet;manrique central no1;3;4;29/04/2019;8000000.0;microempresarial
masculino;comercio;tienda;villa hermosa;3;8;27/06/2018;5000000.0;microempresarial
femenino;comercio;venta de calzado;playon de los ;2;2;27/02/2017;7000000.0;microempresarial
femenino;comercio;productos de belleza;buenos aires;3;9;24/07/2017;7300000.0;microempresarial
masculino;comercio;tienda;manrique central no1;2;4;14/09/2018;6000000.0;microempresarial
