driverId,week,hours-logged,miles-logged
100,42,59,700
57,16,63,3100
65,21,54,2800
22,30,60,300
87,48,80,2800
102,47,56,4000
41,30,64,3500
83,24,60,1600
68,42,53,2600
93,51,78,200
96,12,80,2200
64,34,66,300
71,25,78,500
92,39,69,1500
25,18,63,600
45,34,50,3000
82,43,73,3300
98,41,62,1600
70,6,69,3200
48,21,50,3200
84,30,63,2500
33,13,60,1900
54,42,65,1400
40,48,68,1000
76,39,59,1000
10,35,75,1100
77,23,57,2100
29,5,74,800
99,37,70,2000
12,26,63,700
104,29,68,1200
28,12,78,1700
62,11,76,800
101,32,69,500
102,43,57,300
83,6,63,3400
61,9,59,700
24,17,79,3900
38,25,61,1500
22,33,61,900
42,3,57,3700
94,25,73,1700
91,35,70,2900
36,42,73,3700
27,4,79,1400
105,17,76,100
27,26,80,1500
86,45,65,1100
79,6,51,3500
102,38,76,3300
99,34,71,3900
100,4,76,300
24,16,76,3700
96,22,77,3500
89,38,79,900
83,27,74,3900
85,12,79,1500
33,34,73,2900
21,49,58,2100
49,37,59,400
50,31,69,2500
69,51,53,3300
101,16,51,700
102,11,54,2500
71,28,79,3800
44,7,71,400
105,29,63,3300
49,14,65,400
56,20,64,1000
12,35,55,2400
67,21,55,2500
18,29,57,2200
84,19,62,3700
24,51,77,300
109,20,72,1400
95,35,55,500
70,14,73,1700
93,23,54,1500
40,12,59,3600
24,43,54,2600
76,30,53,1900
35,28,77,1800
79,18,66,400
73,17,76,1000
67,39,71,600
66,20,77,2400
79,15,61,2500
100,14,52,2900
42,52,73,2800
72,12,53,2200
20,35,64,1000
75,41,72,1700
56,14,50,2800
51,5,76,2800
85,10,74,100
76,38,80,3900
36,23,70,3800
63,48,65,2300
54,43,55,3400
58,21,62,2700
35,25,74,3300
87,48,61,1100
69,1,50,2600
24,3,65,1000
95,10,71,2000
59,10,62,4000
108,14,68,4000
55,14,78,1200
109,22,50,2400
34,1,72,2600
82,18,66,3500
91,25,54,2900
75,34,68,2800
54,37,74,3900
55,21,80,0
70,10,58,400
86,43,52,2400
37,33,63,1900
88,50,54,1700
49,6,74,2700
51,46,52,1600
44,11,71,3800
97,27,77,2800
101,33,73,100
109,51,61,1900
38,31,73,1200
49,2,70,600
91,13,55,1600
56,17,50,4000
45,27,61,1300
44,15,77,3100
42,7,72,1200
61,31,67,3900
79,43,50,2200
38,50,50,1000
53,8,80,3900
88,24,78,3100
104,15,65,3200
32,45,63,3300
41,6,61,1200
106,1,58,1300
21,31,63,800
32,16,76,2300
87,22,56,4000
